,accelerator_host_interconnect,accelerator_interconnect,accelerator_memory_capacity,accelerator_memory_configuration,accelerator_model_name,accelerators_per_node,framework,host_memory_capacity,host_processor_core_count,host_processor_model_name,host_processors_per_node,host_storage_type,operating_system,other_software_stack,latency_ns,samples_ps
10,PCIe Gen4 x16,,48 GB,GDDR6,NVIDIA L40S,2,"TensorRT 10.2.0, CUDA 12.4",1 TB,32,INTEL(R) XEON(R) PLATINUM 8562Y+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54.15, DALI 1.28.0",0.00016241144,6239.0
10,PCIe Gen4 x16,,48 GB,GDDR6,NVIDIA L40S,2,"TensorRT 10.2.0, CUDA 12.4",1 TB,32,INTEL(R) XEON(R) PLATINUM 8562Y+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54.15, DALI 1.28.0",0.00019625256,6504.0
10,PCIe Gen4 x16,,48 GB,GDDR6,NVIDIA L40S,2,"TensorRT 10.2.0, CUDA 12.4",1 TB,32,INTEL(R) XEON(R) PLATINUM 8562Y+,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54.15, DALI 1.28.0",0.00027034695,6781.0
14,PCIe 4.0 x16,PCIe 4.0 x16,94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",2 TB,120,INTEL(R) XEON(R) PLATINUM 8580,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00017016607,18495.0
14,PCIe 4.0 x16,PCIe 4.0 x16,94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",2 TB,120,INTEL(R) XEON(R) PLATINUM 8580,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00027653975,19288.0
14,PCIe 4.0 x16,PCIe 4.0 x16,94 GB,HBM3,NVIDIA H100-NVL-94GB,4,"TensorRT 10.2.0, CUDA 12.4",2 TB,120,INTEL(R) XEON(R) PLATINUM 8580,2,NVMe SSD,Ubuntu 22.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00057236944,20104.0
15,PCIe Gen5 x16,PCIe Gen5 x16,80 GB,HBM2e,NVIDIA H100-PCIe-80GB,4,"TensorRT 10.2.0, CUDA 12.4",2 TB,64,Intel(R) Xeon(R) Platinum 8480+,2,NVMe SSD,Ubuntu 20.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.02948945126,16452.0
15,PCIe Gen5 x16,PCIe Gen5 x16,80 GB,HBM2e,NVIDIA H100-PCIe-80GB,4,"TensorRT 10.2.0, CUDA 12.4",2 TB,64,Intel(R) Xeon(R) Platinum 8480+,2,NVMe SSD,Ubuntu 20.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.02849895977,17159.0
15,PCIe Gen5 x16,PCIe Gen5 x16,80 GB,HBM2e,NVIDIA H100-PCIe-80GB,4,"TensorRT 10.2.0, CUDA 12.4",2 TB,64,Intel(R) Xeon(R) Platinum 8480+,2,NVMe SSD,Ubuntu 20.04.4,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.02875446501,17879.0
16,PCIe 4.0 x16,PCIe 4.0 x16,48 GB,GDDR6,NVIDIA L40S,4,"TensorRT 10.2.0, CUDA 12.4",512 GB,64,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2,SSD,Rocky Linux 9.1,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00016469399,12746.0
16,PCIe 4.0 x16,PCIe 4.0 x16,48 GB,GDDR6,NVIDIA L40S,4,"TensorRT 10.2.0, CUDA 12.4",512 GB,64,Intel(R) Xeon(R) Gold 6338 CPU @ 2.00GHz,2,SSD,Rocky Linux 9.1,"TensorRT 10.2.0, CUDA 12.4, cuDNN 8.9.7, Driver 550.54",0.00019806257,13293.0
