,accelerator_memory_capacity,accelerator_model_name,host_memory_capacity,host_processor_core_count,host_processor_model_name,operating_system,sm_count,micro_architecture,core,core_clock,cuda_cores,base_clock,max_boost_clock,bus_type,bus_width,bus_size,bus_clock,bus_bandwidth,half_precision,single_precision,double_precision,cuda_compute_capability,tdp,form_factor,samples_ps
19,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
20,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
21,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
22,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
23,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
24,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
25,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
26,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
27,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
28,7.9307861328125 GB,Quadro M4000,30.0,8,Intel(R) Xeon(R) CPU E5-2623 v4 @ 2.60GHz,Ubuntu 20.04 (linux-5.4.0-198-generic-glibc2.31),13,Maxwell,GM204-850,773.0,1664,,,256-bit GDDR5,,8.192,,206.47251,,,,5.2,120,,6
29,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
30,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
31,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
32,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
33,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
34,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
35,31.7325439453125 GB,Tesla V100-SXM2-32GB,30.0,8,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Ubuntu 22.04 (linux-5.15.0-124-generic-glibc2.35),80,Volta,1× GV100-895-A1,,5120,,1455.0,HBM2,4096.0,32.0,1750.0,900.0,119.192,14.899,7.45,7.0,300,SXMcard,44
